Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2012,Yoandri Betanzos,CUB,16.22,Male,"15 February 1982 in Ciego de Ávila, Ciego de Ávila (CUB)",180.0,71.0
2012,Mohamed Abbas Darwish,UAE,16.06,Male,"28 March 1986 in Dubai, Dubai (UAE)",176.0,74.0
2012,Adrián Sornoza,ECU,16.04,Male,"5 August 1992 in Portoviejo, Manabí (ECU)",176.0,66.0
2012,Jonathan Silva,BRA,15.59,Male,"21 July 1991 in Varginha, Minas Gerais (BRA)",188.0,84.0
2016,Christian Taylor,USA,17.86,Male,"18 June 1990 in Uniondale, New York (USA)",188.0,81.0
2016,Will Claye,USA,17.76,Male,"13 June 1991 in Tucson, Arizona (USA)",181.0,72.0
2016,Dong Bin,CHN,17.58,Male,"22 November 1988 in Hengyang, Hunan (CHN)",180.0,74.0
2016,Cao Shuo,CHN,17.13,Male,"8 October 1991 in Baoding, Hebei (CHN)",180.0,77.0
2016,Jhon Murillo,COL,17.09,Male,"13 July 1984 in Apartadó, Antioquia (COL)",183.0,84.0
2016,Nelson Évora,POR,17.03,Male,"20 April 1984 in Abidjan, Abidjan (CIV)",182.0,72.0
2016,Troy Doris,GUY,16.9,Male,"12 April 1989 in Chicago, Illinois (USA)",172.0,74.0
2016,Lázaro Martínez,CUB,16.68,Male,"3 November 1997 in Guantánamo, Guantánamo (CUB)",192.0,83.0
2016,Alberto Álvarez,MEX,16.67,Male,"8 March 1991 in Cancún, Quintana Roo (MEX)",191.0,78.0
2016,Benjamin Compaoré,FRA,16.72,Male,"5 August 1987 in Bar-le-Duc, Meuse (FRA)",189.0,83.0
2016,Xu Xiaolong,CHN,16.65,Male,"20 December 1992 in Chongqing, Chongqing (CHN)",185.0,70.0
2016,Karol Hoffmann,POL,16.79,Male,"1 June 1989 in Warszawa (Warsaw), Mazowieckie (POL)",197.0,80.0
2016,Harold Correa,FRA,16.6,Male,"26 June 1988 in Epinay-sur-Seine, Seine-Saint-Denis (FRA)",190.0,81.0
2016,Ernesto Revé,CUB,16.58,Male,"26 February 1992 in Guantánamo, Guantánamo (CUB)",182.0,79.0
2016,Max Heß,GER,16.56,Male,"13 July 1996 in Chemnitz, Sachsen (GER)",185.0,80.0
2016,Chris Benard,USA,16.55,Male,"9 April 1990 in Tustin, California (USA)",191.0,84.0
2016,Fabrizio Donato,ITA,16.54,Male,"14 August 1976 in Latina, Latina (ITA)",189.0,83.0
2016,Leevan Sands,BAH,16.53,Male,"16 August 1981 in Nassau, New Providence (BAH)",191.0,82.0
2016,Dzmitry Platnitski,BLR,16.52,Male,"26 August 1988 in Brest, Brest (BLR)",191.0,83.0
2016,Maksim Niestsiarenka,BLR,16.52,Male,"1 September 1992 in Mahilyow, Mahilyow (BLR)",193.0,82.0
2016,Khotso Mokoena,RSA,16.51,Male,"6 March 1985 in Heidelberg, Gauteng (RSA)",190.0,76.0
2016,Fabian Florant,NED,16.51,Male,"1 February 1983 in Mahaut, Saint Paul (DMA)",180.0,74.0
2016,Tosin Oke,NGR,16.47,Male,"1 October 1980 in London, England (GBR)",179.0,78.0
2016,Mamadou Chérif Dia,MLI,16.45,Male,"16 October 1984 in Kayes, Kayes (MLI)",180.0,70.0
2016,Nazim Babayev,AZE,16.38,Male,"8 October 1997 in Bakı, Bakı (AZE)",187.0,74.0
2016,Rumen Dimitrov,BUL,16.36,Male,"19 September 1986 in Plovdiv, Plovdiv (BUL)",175.0,77.0
2016,Kim Deok-Hyeon,KOR,16.36,Male,"8 December 1985 in Gwangju, Gwangju (KOR)",180.0,71.0
2016,Jonathan Drack,MRI,16.21,Male,"6 November 1988 in Beau Bassin-Rose Hill, Plaines Wilhems (MRI)",184.0,73.0
2016,Daigo Hasegawa,JPN,16.17,Male,"27 February 1990 in Yokohama, Kanagawa (JPN)",173.0,58.0
2016,Renjith Maheshwary,IND,16.13,Male,"30 January 1986 in Kottayam, Kerala (IND)",184.0,79.0
2016,Pablo Torrijos,ESP,16.11,Male,"12 May 1992 in Castellón de la Plana, Castellón (ESP)",185.0,76.0
2016,Olu Olamigoke,NGR,16.1,Male,"19 September 1990 in Arlington, Virginia (USA)",175.0,72.0
