Year,Athlete,NOC,Distance,Sex,Birth,Height (cm),Weight (kg)
2012,Xie Limei,CHN,13.69,Female,"27 June 1986 in Zhangzhou (Changchow), Fujian (CHN)",175.0,60.0
2012,Niki Panetta,GRE,13.66,Female,"21 April 1986 in Ilion, Attiki (GRE)",172.0,53.0
2012,Biljana Topić,SRB,13.66,Female,"17 October 1977 in Šabac, Mačva (SRB)",180.0,65.0
2012,Patricia Sarrapio,ESP,13.64,Female,"16 November 1982 in Madrid, Madrid (ESP)",165.0,56.0
2012,Amanda Smock,USA,13.61,Female,"27 July 1982 in Long Prairie, Minnesota (USA)",170.0,60.0
2012,Aleksandra Kotlyarova,UZB,13.55,Female,"10 October 1988 in Samarqand, Samarqand (UZB)",175.0,60.0
2012,Anastasiya Zhuravlyova,UZB,13.54,Female,"9 October 1981 in Toshkent, Toshkent Shahri (UZB)",175.0,57.0
2012,Li Yanmei,CHN,13.43,Female,"6 February 1990 in Chaozhou, Guangdong (CHN)",172.0,56.0
2012,Irina Ektova,KAZ,13.39,Female,"8 January 1987 in Petropavl, Soltustyk Qazaqstan      (KAZ)",173.0,61.0
2012,Andriana Banova,BUL,13.33,Female,"1 May 1987 in Pleven, Pleven (BUL)",178.0,64.0
2012,Athanasia Perra,GRE,11.93,Female,2 February 1983 in Pyrgos (GRE),170.0,59.0
2016,Caterine Ibargüen,COL,15.17,Female,"12 February 1984 in Apartadó, Antioquia (COL)",185.0,70.0
2016,Yulimar Rojas,VEN,14.98,Female,"21 October 1995 in Puerto La Cruz, Anzoátegui (VEN)",192.0,72.0
2016,Olga Rypakova,KAZ,14.74,Female,"30 November 1984 in Oskemen, Shyrgys Qazaqstan (KAZ)",183.0,62.0
2016,Keturah Orji,USA,14.71,Female,"5 March 1996 in Hoboken, New Jersey (USA)",165.0,61.0
2016,Hanna Knyazyeva-Minenko,ISR,14.68,Female,"25 September 1989 in Pereiaslav-Khmelnytskyi, Kyiv (UKR)",179.0,62.0
2016,Patrícia Mamona,POR,14.65,Female,"21 November 1988 in Lisboa, Distrito de Lisboa (POR)",167.0,60.0
2016,Kimmie Williams,JAM,14.53,Female,"3 November 1988 in ?, Saint Thomas (JAM)",178.0,62.0
2016,Paraskevi Papachristou,GRE,14.43,Female,"17 April 1989 in Athina (Athens), Attiki (GRE)",170.0,53.0
2016,Susana Costa,POR,14.12,Female,"22 September 1984 in Setúbal, Distrito de Setúbal (POR)",178.0,63.0
2016,Anna Jagaciak,POL,14.13,Female,"10 February 1990 in Zielona Góra, Lubuskie (POL)",177.0,59.0
2016,Kristin Gierisch,GER,14.26,Female,"20 August 1990 in Zwickau, Sachsen (GER)",178.0,61.0
2016,Kristiina Mäkelä,FIN,14.24,Female,"20 November 1992 in Orimattila, Päijät-Häme (FIN)",185.0,68.0
2016,Jenny Elbe,GER,14.02,Female,"18 April 1990 in Chemnitz, Sachsen (GER)",180.0,64.0
2016,Shanieka Thomas,JAM,14.02,Female,"2 February 1992 in Content Gap, Saint Andrew (JAM)",180.0,64.0
2016,Christina Epps,USA,14.01,Female,"20 June 1991 in Bronx, New York (USA)",175.0,66.0
2016,Elena Panțuroiu,ROU,14.0,Female,"24 February 1995 in Câmpulung, Argeș (ROU)",170.0,57.0
2016,Dana Velďáková,SVK,13.98,Female,"3 June 1981 in Rožňava, Košice (SVK)",179.0,61.0
2016,Olha Saladukha,UKR,13.97,Female,"4 June 1983 in Donetsk, Donetsk (UKR)",176.0,57.0
2016,Jeanine Assani Issouf,FRA,13.97,Female,"17 August 1992 in Marseille (Marseilles), Bouches-du-Rhône (FRA)",170.0,53.0
2016,Yosiry Urrutia,COL,13.95,Female,"26 June 1986 in Apartadó, Antioquia (COL)",176.0,65.0
2016,Andrea Geubelle,USA,13.93,Female,"26 June 1991 in Lakewood, Washington (USA)",163.0,58.0
2016,Gabriela Petrova,BUL,13.92,Female,"29 June 1992 in Haskovo, Haskovo (BUL)",167.0,58.0
2016,Núbia Soares,BRA,13.85,Female,"26 March 1996 in Lagoa da Prata, Minas Gerais (BRA)",176.0,52.0
2016,Keila Costa,BRA,13.78,Female,"6 February 1983 in Abreu e Lima, Pernambuco (BRA)",170.0,63.0
2016,Liadagmis Povea,CUB,13.63,Female,"6 February 1996 in San Juan y Martínez, Pinar del Río (CUB)",166.0,52.0
2016,Ruslana Tsykhotska,UKR,13.63,Female,"23 March 1986 in Magdagachi, Amur (RUS)",165.0,56.0
2016,Ana José,DOM,13.61,Female,"10 October 1989 in La Romana, La Romana (DOM)",168.0,56.0
2016,Dariya Derkach,ITA,13.56,Female,"27 March 1993 in Vinnytsia, Vinnytsia (UKR)",170.0,50.0
2016,Yekaterina Ektova,KAZ,13.51,Female,"30 August 1992 in Petropavl, Soltustyk Qazaqstan      (KAZ)",170.0,59.0
2016,Cristina Bujin,ROU,13.38,Female,"12 April 1988 in Constanța, Constanța (ROU)",172.0,56.0
2016,Iryna Vaskouskaya,BLR,13.35,Female,"2 April 1991 in Barysaw, Minsk Voblast (BLR)",179.0,65.0
2016,Patricia Sarrapio,ESP,13.35,Female,"16 November 1982 in Madrid, Madrid (ESP)",165.0,56.0
2016,Irina Ektova,KAZ,13.33,Female,"8 January 1987 in Petropavl, Soltustyk Qazaqstan      (KAZ)",173.0,61.0
2016,Li Xiaohong,CHN,13.3,Female,"8 January 1995 in Changle, Fujian (CHN)",162.0,48.0
2016,Natallia Viatkina,BLR,13.25,Female,"10 February 1987 in Gorki-10, Moskva Oblast (RUS)",176.0,58.0
2016,Joëlle Mbumi Nkouindjin,CMR,13.11,Female,"25 May 1986 in Yaoundé, Centre (CMR)",170.0,63.0
2016,Thea LaFond,DMA,12.82,Female,"5 April 1994 in Roseau, Saint George (DMA)",173.0,65.0
2020,Yulimar Rojas,VEN,15.67,Female,"21 October 1995 in Puerto La Cruz, Anzoátegui (VEN)",192.0,72.0
2020,Patrícia Mamona,POR,15.01,Female,"21 November 1988 in Lisboa, Distrito de Lisboa (POR)",167.0,60.0
2020,Ana Peleteiro,ESP,14.87,Female,"2 December 1995 in Ribeira, La Coruña (ESP)",172.0,58.0
2020,Shanieka Ricketts,JAM,14.84,Female,"2 February 1992 in Content Gap, Saint Andrew (JAM)",180.0,64.0
2020,Liadagmis Povea,CUB,14.7,Female,"6 February 1996 in San Juan y Martínez, Pinar del Río (CUB)",166.0,52.0
2020,Hanna Knyazyeva-Minenko,ISR,14.6,Female,"25 September 1989 in Pereiaslav-Khmelnytskyi, Kyiv (UKR)",179.0,62.0
2020,Keturah Orji,USA,14.59,Female,"5 March 1996 in Hoboken, New Jersey (USA)",165.0,61.0
2020,Kimmie Williams,JAM,14.51,Female,"3 November 1988 in ?, Saint Thomas (JAM)",178.0,62.0
2020,Rouguy Diallo,FRA,14.38,Female,"5 February 1995 in Nice, Alpes-Maritimes (FRA)"
2020,Caterine Ibargüen,COL,14.37,Female,"12 February 1984 in Apartadó, Antioquia (COL)",185.0,70.0
2020,Kristiina Mäkelä,FIN,14.21,Female,"20 November 1992 in Orimattila, Päijät-Häme (FIN)",185.0,68.0
2020,Thea LaFond,DMA,14.6,Female,"5 April 1994 in Roseau, Saint George (DMA)",173.0,65.0
2020,Senni Salminen,FIN,14.2,Female,"29 January 1996 in Helsinki, Uusimaa (FIN)"
2020,Neele Eckhardt,GER,14.2,Female,"2 July 1992 in Ostercappeln, Niedersachsen (GER)",168.0,52.0
2020,Davisleydi Velazco,CUB,14.14,Female,4 September 1999
2020,Ana José,DOM,14.11,Female,"10 October 1989 in La Romana, La Romana (DOM)",168.0,56.0
2020,Núbia Soares,BRA,14.07,Female,"26 March 1996 in Lagoa da Prata, Minas Gerais (BRA)",176.0,52.0
2020,Viyaleta Skvartsova,BLR,14.05,Female,"15 April 1998 in Vitebsk, Vitebsk (BLR)",182.0,61.0
2020,Evelise Veiga,POR,13.93,Female,"3 March 1996 in Praia, Praia (CPV)",168.0,52.0
2020,Olha Saladukha,UKR,13.91,Female,"4 June 1983 in Donetsk, Donetsk (UKR)",176.0,57.0
2020,Dariya Derkach,ITA,13.9,Female,"27 March 1993 in Vinnytsia, Vinnytsia (UKR)",170.0,50.0
2020,Gabriela Petrova,BUL,13.79,Female,"29 June 1992 in Haskovo, Haskovo (BUL)",167.0,58.0
2020,Jasmine Moore,USA,13.76,Female,1 May 2001
2020,Olga Rypakova,KAZ,13.69,Female,"30 November 1984 in Oskemen, Shyrgys Qazaqstan (KAZ)",183.0,62.0
2020,Tori Franklin,USA,13.68,Female,"7 October 1992 in Westmont, Illinois (USA)",173.0,55.0
2020,Mariya Ovchinnikova,KAZ,13.34,Female,"19 October 1998 in Temirtau, Quaraghandy (KAZ)"
2020,Yosiry Urrutia,COL,13.16,Female,"26 June 1986 in Apartadó, Antioquia (COL)",176.0,65.0
2020,Diana Zagainova,LTU,13.1,Female,"20 June 1997 in Vilnius, Vilnius (LTU)"
2020,Roksana Khudoyarova,UZB,13.02,Female,"30 January 2001 in Samarqand, Samarqand (UZB)"
2020,Kristin Gierisch,GER,13.02,Female,"20 August 1990 in Zwickau, Sachsen (GER)",178.0,61.0
2020,Irina Ektova,KAZ,12.9,Female,"8 January 1987 in Petropavl, Soltustyk Qazaqstan      (KAZ)",173.0,61.0
2020,Paraskevi Papachristou,GRE,12.23,Female,"17 April 1989 in Athina (Athens), Attiki (GRE)",170.0,53.0
